pelukis,seniman,tahun,penjual
Nafea Faa Ipoipo (When Will You Marry?),"Gaugin, Paul Paul Gauguin",1892,Rudolf Staechelin family
The Card Players,"Cezanne, Paul Paul Cézanne",1892/93,George Embiricos
"No. 5, 1948","Pollock, Jackson Jackson Pollock",1948,David Geffen
Woman III,"de Kooning, Willem Willem de Kooning",1953,David Geffen
Le Rêve,"Picasso, Pablo Pablo Picasso",1932,Steve Wynn
Portrait of Adele Bloch-Bauer I,"Klimt, Gustav Gustav Klimt",1907,Maria Altmann
Portrait of Dr. Gachet,"Gogh, Vincent van Vincent van Gogh",1890,Siegfried Kramarsky family
Three Studies of Lucian Freud,"Bacon, Francis Francis Bacon",1969,
Bal du moulin de la Galette[note 5],"Renoir, Pierre-Auguste Pierre-Auguste Renoir",1876,Betsey Whitney
Garçon à la pipe,"Picasso, Pablo Pablo Picasso",1905,Greentree foundation (Whitney family)
The Scream[note 7],"Munch, Edvard Edvard Munch",1895,Petter Olsen
Flag[note 8],"Johns, Jasper Jasper Johns",1954,Jean-Christophe Castelli
"Nude, Green Leaves and Bust","Picasso, Pablo Pablo Picasso",1932,Frances Lasker Brody estate
Portrait of Joseph Roulin,"Gogh, Vincent van Vincent van Gogh",1889,"Koleksi pribadi, Zürich"
Dora Maar au Chat,"Picasso, Pablo Pablo Picasso",1941,Gidwitz family
Irises,"Gogh, Vincent van Vincent van Gogh",1889,son of Joan Whitney Payson
Eight Elvises,"Warhol, Andy Andy Warhol",1963,Annibale Berlingieri
Anna's Light,"Newman, Barnett Barnett Newman",1968,DIC Corp.
Silver Car Crash (Double Disaster),"Warhol, Andy Andy Warhol",1963,
Adele Bloch-Bauer II,"Klimt, Gustav Gustav Klimt",1912,Maria Altmann
Portrait de l'artiste sans barbe,"Gogh, Vincent van Vincent van Gogh",1889,Heirs of de [Jacques Koerfer]
La Montagne Sainte-Victoire vue du bosquet du Château Noir,"Cezanne, Paul Paul Cézanne",1904,Edsel and Eleanor Ford House
Massacre of the Innocents,"Rubens, Peter Paul Peter Paul Rubens",1611,an Austrian family
"Triptych, 1976","Bacon, Francis Francis Bacon",1976,"Moueix Family, Château Pétrus[29]"
False Start,"Johns, Jasper Jasper Johns",1959,David Geffen
A Wheatfield with Cypresses,"Gogh, Vincent van Vincent van Gogh",1889,son of Emil Georg Bührle
Les Noces de Pierrette,"Picasso, Pablo Pablo Picasso",1905,sv [Fredrik Roos][33]
"Yo, Picasso","Picasso, Pablo Pablo Picasso",1901,de [Wendell Cherry]
Turquoise Marilyn,"Warhol, Andy Andy Warhol",1964,Stefan Edlis
"Portrait of Alfonso d'Avalos, Marquis of Vasto, in Armor with a Page",Titian,1533,AXA insurance company
"Orange, Red, Yellow","Rothko, Mark Mark Rothko",1961,Estate of David Pincus
Le Bassin aux Nymphéas,"Monet, Claude Claude Monet",1919,J. Irwin and Xenia S. Miller
"Rideau, Cruchon et Compotier[note 14]","Cezanne, Paul Paul Cézanne",1894,Whitney Family
Vase with Fifteen Sunflowers,"Gogh, Vincent van Vincent van Gogh",1888,daughter-in-law of Chester Beatty
Black Fire I,"Newman, Barnett Barnett Newman",1961,Koleksi pribadi
"White Center (Yellow, Pink and Lavender on Rose)","Rothko, Mark Mark Rothko",1950,"David Rockefeller, Sr."
Green Car Crash (Green Burning Car I),"Warhol, Andy Andy Warhol",1963,"Koleksi pribadi, Zürich"
Triple Elvis [Ferus Type],"Warhol, Andy Andy Warhol",1963,WestSpiel Casino Company [44]
Three Studies for a Portrait of John Edwards,"Bacon, Francis Francis Bacon",1984,Koleksi pribadi
Diana and Actaeon,Titian,1556–1559,Duke of Sutherland
Salvator Mundi,Leonardo da Vinci Attributed to Leonardo da Vinci,1490-1519,Robert Simon
Darmstadt Madonna,"Holbein, Hans Hans Holbein",1526,"Donatus, Hereditary Prince of Hesse"
The Gross Clinic,"Eakins, Thomas Thomas Eakins",1875,Thomas Jefferson University
No 1 (Royal Red and Blue),"Rothko, Mark Mark Rothko",1954,John and Anne Marion
Au Lapin Agile,"Picasso, Pablo Pablo Picasso",1904,daughter of Joan Whitney Payson
Acrobate et jeune arlequin[note 16],"Picasso, Pablo Pablo Picasso",1905,heir of Roger Janssen?[note 17]
Femme aux Bras Croisés,"Picasso, Pablo Pablo Picasso",1902,"McCormick family, Chicago"
"Nude Sitting on a Divan (""La Belle Romaine"")","Modigliani, Amedeo Amedeo Modigliani",1917,Halit Cıngıllıoglu[54]
Police Gazette[56],"de Kooning, Willem Willem de Kooning",1955,David Geffen
Diana and Callisto,Titian,1556–1559,Duke of Sutherland
Peasant Woman Against a Background of Wheat,"Gogh, Vincent van Vincent van Gogh",1890,
Femme assise dans un jardin,"Picasso, Pablo Pablo Picasso",1938,Robert Saidenberg[60]
Untitled,"Twombly, Cy Cy Twombly",1970,Nicola del Roscio [44]
Four Marlons,"Warhol, Andy Andy Warhol",1966,WestSpiel Casino Company [44]
Eagle Standing on Pine Tree[63],Qi Baishi,1946,Liu Yiqian
Men in Her Life,"Warhol, Andy Andy Warhol",1962,Jose Mugrabi
Portrait of a Halberdier,Pontormo,1537,Chauncey Devereaux Stillman
Suprematist Composition,"Malevich, Kazimir Kazimir Malevich",1916,Heirs of Kazimir Malevich
Untitled,"Rothko, Mark Mark Rothko",1952,Koleksi pribadi
Zhichuan Resettlement[67],Wang Meng,1350,
Spring (Le Printemps),"Manet, Edouard Édouard Manet",1881,
